"","SHHADID","SPANEL","SSUID","SWAVE","PNUM","MONTHCODE","WPFINWGT","TAGE","EDUCATION","SEX","RACE","METRO_STATUS","EMPLOYMENT_TYPE","CLASS_OF_WORKER","TPTOTINC","ANY_RETIREMENT_ACCESS","PARTICIPATING","MATCHING","TJB1_JOBHRS1","TOTYEARINC","in_age_range","FULL_PART_TIME","TVAL_RET"
"1",11,2024,11428546524,1,102,12,5189.71673989355,43,"High School or less","Male","Hispanic","Metropolitan area","Employer","Employee of a private, for-profit company",12100,"No","No","No",40,145200,"yes","full time",0
"2",11,2024,11428546524,1,106,12,7607.08208990941,22,"High School or less","Female","Hispanic","Metropolitan area","Employer","Employee of a private, for-profit company",3314,"No","No","No",6,39768,"yes","part time",0
"3",11,2024,11428574624,1,101,12,4238.69810711895,49,"High School or less","Female","Hispanic","Metropolitan area","Employer","Employee of a private, for-profit company",4867,"No","No","No",25,58404,"yes","part time",0
"4",11,2024,11428574624,1,103,12,3710.78199210997,16,"High School or less","Female","Hispanic","Metropolitan area","Employer","Employee of a private, for-profit company",1408,"No","No","No",24,16896,"no","part time",0
"5",11,2022,11428577022,3,101,12,16596.2114068068,34,"Some college","Female","Non-Hispanic Black","Metropolitan area","Employer","Employee of a private, for-profit company",5432,"No","No","No",40,65184,"yes","full time",17800
"6",11,2024,11428577024,1,101,12,4064.60012153557,49,"High School or less","Male","Hispanic","Metropolitan area","Employer","Employee of a private, for-profit company",3342,"No","No","No",40,40104,"yes","full time",0
"7",11,2024,11428577024,1,102,12,3788.50475737209,55,"High School or less","Male","Hispanic","Metropolitan area","Employer","Employee of a private, for-profit company",4554,"No","No","No",40,54648,"yes","full time",0
"8",11,2022,41804934322,3,101,12,3143.09351740689,82,"Some college","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",2652,"No","No","No",10,31824,"no","part time",0
"9",11,2023,41804946523,2,101,12,8294.6033170387,50,"Bachelor's degree or higher","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",4988,"Yes","Yes","Yes",40,59856,"yes","full time",25000
"10",11,2023,41804946523,2,102,12,7440.70786199917,26,"Bachelor's degree or higher","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",3494,"No","No","No",40,41928,"yes","full time",0
